R#,PLAYER,POS,TEAM,GP,MPG,TOTAL
1,Tyrese Haliburton,"PG,SG",SAC,22,29.5,3.78
2,LaMelo Ball,"PG,SG",CHA,26,27.1,3.31
3,Xavier Tillman,PF,MEM,15,22.2,-0.57
4,Jae'Sean Tate,SG,HOU,25,26.6,-0.73
5,Patrick Williams,"SF,PF",CHI,23,27.4,-1.38
6,Immanuel Quickley,PG,NYK,22,19,-1.43
7,Payton Pritchard,PG,BOS,18,21.2,-1.57
8,Desmond Bane,"PG,SG",MEM,20,25.7,-1.6
9,James Wiseman,C,GSW,20,21.1,-1.83
10,Cole Anthony,PG,ORL,25,26.8,-2.18
11,Devin Vassell,SG,SAS,24,18.2,-2.57
12,Deni Avdija,"SG,SF",WAS,18,23.2,-2.65
13,Anthony Edwards,SG,MIN,25,27.1,-2.73
14,Isaiah Stewart,"PF,C",DET,23,17.9,-2.97
15,Theo Maledon,PG,OKL,21,22.8,-3.68
16,Isaac Okoro,"SG,SF",CLE,21,34,-3.94
17,Tyrese Maxey,"PG,SG",PHI,25,17.9,-4.1
18,Jaden McDaniels,PF,MIN,19,17.6,-4.47
19,Isaiah Joe,SG,PHI,13,15.4,-5.01
20,Saddiq Bey,SF,DET,23,18.9,-5.15
21,Aleksej Pokuševski,SF,OKL,17,17.6,-5.25
22,Precious Achiuwa,"SF,PF",MIA,25,15.2,-5.49
23,Facundo Campazzo,PG,DEN,21,12.1,-5.6
24,Obi Toppin,"SF,PF",NYK,16,11.8,-6.07
25,Paul Reed,SF,PHI,5,11.3,-6.28
26,Onyeka Okongwu,"PF,C",ATL,7,10.5,-6.46
27,Reggie Perry,PF,BRO,14,10.7,-6.49
28,CJ Elleby,SF,POR,10,8.5,-6.59
29,R.J. Hampton,PG,DEN,16,6.9,-7.18
30,Daniel Oturu,C,LAC,10,4.5,-7.24
31,Cassius Winston,PG,WAS,6,7.3,-7.34
32,Saben Lee,PG,DET,8,8.7,-7.41
33,Sam Merrill,SG,MIL,9,6.4,-7.55
34,Brodric Thomas,SG,HOU,4,6.3,-7.72
35,Josh Green,"SG,SF",DAL,17,12.6,-7.72
36,Jahmi'us Ramsey,SG,SAC,4,4.2,-7.79
37,Aaron Nesmith,"SG,SF",BOS,10,11.9,-7.85
38,Elijah Hughes,SG,UTA,6,4.8,-7.92
39,Zeke Nnaji,PF,DEN,11,3.9,-8.05
40,Udoka Azubuike,C,UTA,12,4.3,-8.13
41,Devon Dotson,"PG,SG",CHI,1,10.5,-8.18
42,Killian Hayes,"PG,SG",DET,7,21.4,-8.24
43,Tre Jones,PG,SAS,9,2.9,-8.35
44,Sean McDermott,SG,MEM,3,13.8,-8.36
45,Malachi Flynn,PG,TOR,13,8.5,-8.49
46,Tyrell Terry,PG,DAL,11,5.4,-8.54
47,Cassius Stanley,SG,IND,8,3.2,-8.6
48,Nick Richards,C,CHA,8,2.9,-8.72
49,Jalen Smith,PF,PHX,7,6.9,-8.74
50,Nico Mannion,PG,GSW,6,6,-8.8
51,Vernon Carey Jr.,C,CHA,3,2.4,-8.97
52,Robert Woodard II,SG,SAC,6,3.2,-9.07
53,Tyler Bey,SF,DAL,4,3.1,-9.31
54,Jalen Harris,SG,TOR,2,2.2,-9.4
55,Ashton Hagans,PG,MIN,2,2,-9.6
56,Skylar Mays,"PG,SG",ATL,6,2.7,-9.79
57,Ty-Shon Alexander,SG,PHX,3,3.1,-10.04
