Pk,Player,url
1,Anthony Edwards,https://i.ibb.co/4ZxRBmd/Anthony-Edwards.jpg
2,James Wiseman,https://i.ibb.co/jLJk6mc/James-Wiseman.jpg
3,LaMelo Ball,https://i.ibb.co/vv3MxZV/La-Melo-Ball.jpg
4,Patrick Williams,https://i.ibb.co/NtTwQSJ/Patrick-Williams.jpg
5,Isaac Okoro,https://i.ibb.co/HY240pp/Isaac-Okoro.jpg
6,Onyeka Okongwu,https://i.ibb.co/cD4MP9X/Onyeka-Okongwu.jpg
7,Killian Hayes,https://i.ibb.co/M8ZQDWK/Killian-Hayes.jpg
8,Obi Toppin,https://i.ibb.co/zPM1RXL/Obi-Toppin.jpg
9,Deni Avdija,https://i.ibb.co/Tm4Pm1W/Deni-Avdija.jpg
10,Jalen Smith,https://i.ibb.co/HrXrH3r/Jalen-Smith.jpg
11,Devin Vassell,https://i.ibb.co/ySZQj74/Devin-Vassell.jpg
12,Tyrese Haliburton,https://i.ibb.co/wwch2yt/Tyrese-Haliburton.jpg
13,Kira Lewis Jr,https://i.ibb.co/gvhJ2T1/Kira-Lewis-Jr.jpg
14,Aaron Nesmith,https://i.ibb.co/PtktFRG/Aaron-Nesmith.jpg
15,Cole Anthony,https://i.ibb.co/tBGjQ4r/Cole-Anthony.jpg
16,Isaiah Stewart,https://i.ibb.co/6F0cykx/Isaiah-Stewart.jpg
17,Aleksej Pokusevski,https://i.ibb.co/wNKdHRy/Aleksej-Pokusevski.jpg
18,Josh Green,https://i.ibb.co/HBjxPS9/Josh-Green.jpg
19,Saddiq Bey,https://i.ibb.co/p0h8BC0/Saddiq-Bey.jpg
20,Precious Achiuwa,https://i.ibb.co/jhhLPvB/Precious-Achiuwa.jpg
